t,x1,v1,x2,v2,pump,refc,refs,drive1,drive2,u1,u2,k12_eff,k21_eff,i1,q1,amp1,phase1,bit1,i2,q2,amp2,phase2,bit2
0,-0.002410462274,-0.001930059344,-0.0002276006542,0.0003773190479,1,1,0,0.2,0,0.2,0,0,0,-2.410462274e-07,0,2.410462274e-07,3.141592654,0,-2.276006542e-08,0,2.276006542e-08,3.141592654,0
1e-06,-0.002225322684,360.8125396,-0.0002101189228,34.06903738,0.8090169944,0.9510565163,0.3090169944,0.1902113033,0,0.1902113033,0,0,0,-4.526628867e-07,-6.876625274e-08,4.578564038e-07,-2.990830438,0,-4.274128649e-08,-6.493031799e-09,4.323166701e-08,-2.990830619,0
2e-06,-0.00172238164,624.1514033,-0.0001626299127,58.93385546,0.3090169944,0.8090169944,0.5877852523,0.1618033989,0,0.1618033989,0,0,0,-5.919612222e-07,-1.699984288e-07,6.158876151e-07,-2.861939978,0,-5.589404867e-08,-1.605152892e-08,5.815321365e-08,-2.861940475,0
3e-06,-0.001021195111,758.3139736,-9.642230867e-05,71.60163829,-0.3090169944,0.5877852523,0.8090169944,0.1175570505,0,0.1175570505,0,0,0,-6.519263687e-07,-2.525978489e-07,6.991521033e-07,-2.771939865,0,-6.155602037e-08,-2.38506524e-08,6.601512905e-08,-2.771940929,0
4e-06,-0.0002381721629,796.0846711,-2.248763716e-05,75.16795375,-0.8090169944,0.3090169944,0.9510565163,0.06180339887,0,0.06180339887,0,0,0,-6.592211007e-07,-2.752241079e-07,7.143673909e-07,-2.746092591,0,-6.224477097e-08,-2.598696872e-08,6.745171648e-08,-2.746094738,0
5e-06,0.0005551592599,784.9423969,5.242032521e-05,74.11583176,-1,2.832769449e-16,1,5.665538898e-17,0,5.665538898e-17,0,0,0,-6.591551786e-07,-2.196806595e-07,6.947986338e-07,-2.819893621,0,-6.223854649e-08,-2.074233751e-08,6.560397271e-08,-2.819897696,0
6e-06,0.001320682057,738.6497031,0.0001247025001,69.74474575,-0.8090169944,-0.3090169944,0.9510565163,-0.06180339887,0,-0.06180339887,0,0,0,-6.99900583e-07,-9.405436381e-08,7.061919353e-07,-3.00801046,0,-6.608584182e-08,-8.880350736e-09,6.667982542e-08,-3.008016813,0
7e-06,0.002010128372,624.6973527,0.0001898013509,58.98511573,-0.3090169944,-0.5877852523,0.8090169944,-0.1175570505,0,-0.1175570505,0,0,0,-8.179829742e-07,6.857784305e-08,8.208526461e-07,3.057950516,0,-7.723547673e-08,6.475789144e-09,7.750648173e-08,3.057943555,0
8e-06,0.002530410774,393.9320455,0.0002389274026,37.19580967,0.3090169944,-0.8090169944,0.5877852523,-0.1618033989,0,-0.1618033989,0,0,0,-1.022615708e-06,2.173047988e-07,1.045449311e-06,2.932208233,0,-9.655738609e-08,2.051894193e-08,9.871350357e-08,2.932202332,0
9e-06,0.002754400388,36.77413403,0.0002600769325,3.472296619,0.8090169944,-0.9510565163,0.3090169944,-0.1902113033,0,-0.1902113033,0,0,0,-1.28447249e-06,3.023987212e-07,1.319588786e-06,2.910376657,0,-1.212825165e-07,2.855370923e-08,1.245984074e-07,2.910371936,0
1e-05,0.002583527787,-378.6037952,0.0002439428313,-35.74848235,1,-1,5.665538898e-16,-0.2,0,-0.2,0,0,0,-1.542696821e-06,3.023684814e-07,1.572049675e-06,2.948046249,0,-1.456646714e-07,2.855085386e-08,1.484363424e-07,2.948042366,0
1.1e-05,0.002017427582,-734.6177655,0.0001904905522,-69.36406778,0.8090169944,-0.9510565163,-0.3090169944,-0.1902113033,0,-0.1902113033,0,0,0,-1.734411317e-06,2.399963037e-07,1.750937132e-06,3.004092448,0,-1.63766833e-07,2.266151699e-08,1.653273115e-07,3.004089142,0
1.2e-05,0.001164275906,-945.0965364,0.000109934232,-89.2379856,0.3090169944,-0.8090169944,-0.5877852523,-0.1618033989,0,-0.1618033989,0,0,0,-1.828429775e-06,1.715378834e-07,1.836458736e-06,3.048049409,0,-1.726443225e-07,1.619747881e-08,1.73402481e-07,3.048046549,0
1.3e-05,0.0001773254245,-1008.562245,1.67442677e-05,-95.23063047,-0.3090169944,-0.5877852523,-0.8090169944,-0.1175570505,0,-0.1175570505,0,0,0,-1.838669859e-06,1.571748014e-07,1.845375509e-06,3.056317079,0,-1.736112614e-07,1.484121935e-08,1.742444601e-07,3.056314631,0
1.4e-05,-0.0008234704987,-983.761274,-7.775307804e-05,-92.88892204,-0.8090169944,-0.3090169944,-0.9510565163,-0.06180339887,0,-0.06180339887,0,0,0,-1.813039354e-06,2.354757823e-07,1.828267088e-06,3.012436617,0,-1.711911981e-07,2.223449238e-08,1.726290791e-07,3.012434626,0
1.5e-05,-0.001778732855,-922.1099729,-0.0001679510955,-87.06772828,-1,-1.07187544e-15,-1,-2.143750879e-16,0,-2.143750879e-16,0,0,0,-1.81285805e-06,4.133255202e-07,1.859379546e-06,2.917427816,0,-1.711740789e-07,3.902737847e-08,1.755668009e-07,2.917426339,0
1.6e-05,-0.002654830214,-819.4559167,-0.0002506742694,-77.37504219,-0.8090169944,0.3090169944,-0.9510565163,0.06180339887,0,0.06180339887,0,0,0,-1.89471553e-06,6.657735451e-07,2.008283185e-06,2.803685018,0,-1.789032225e-07,6.286401547e-08,1.896266001e-07,2.803683984,0
1.7e-05,-0.003384525529,-617.4037961,-0.0003195740493,-58.29712728,-0.3090169944,0.5877852523,-0.8090169944,0.1175570505,0,0.1175570505,0,0,0,-2.093463477e-06,9.395208348e-07,2.294621696e-06,2.719747264,0,-1.976694235e-07,8.871181275e-08,2.166633026e-07,2.719746463,0
1.8e-05,-0.003834606198,-254.0342648,-0.0003620723712,-23.98741459,0.3090169944,0.8090169944,-0.5877852523,0.1618033989,0,0.1618033989,0,0,0,-2.403480289e-06,1.16481938e-06,2.670865344e-06,2.690309493,0,-2.269419267e-07,1.099850216e-07,2.521891018e-07,2.690308785,0
1.9e-05,-0.003839788348,261.7982585,-0.0003625628383,24.71822553,0.8090169944,0.9510565163,-0.3090169944,0.1902113033,0,0.1902113033,0,0,0,-2.768425514e-06,1.283358883e-06,3.051424233e-06,2.707511432,0,-2.614010075e-07,1.211778309e-07,2.881224625e-07,2.70751087,0
2e-05,-0.003297562149,814.9045152,-0.0003113660645,76.94365746,1,1,-1.13310778e-15,0.2,0,0.2,0,0,0,-3.097904886e-06,1.283230547e-06,3.353161989e-06,2.748883562,0,-2.925114738e-07,1.211657131e-07,3.166134747e-07,2.748883378,0
2.1e-05,-0.002252922264,1242.415334,-0.0002127301396,117.310528,0.8090169944,0.9510565163,0.3090169944,0.1902113033,0,0.1902113033,0,0,0,-3.311860736e-06,1.213483098e-06,3.527174898e-06,2.790378332,0,-3.127140612e-07,1.145798737e-07,3.330444888e-07,2.790378879,0
2.2e-05,-0.0008888208854,1448.197544,-8.39294602e-05,136.7415211,0.3090169944,0.8090169944,0.5877852523,0.1618033989,0,0.1618033989,0,0,0,-3.38343667e-06,1.161118169e-06,3.577127213e-06,2.811008976,0,-3.194728258e-07,1.096351659e-07,3.377613891e-07,2.811010683,0
2.3e-05,0.0005771339847,1458.834541,5.44890159e-05,137.7464012,-0.3090169944,0.5877852523,0.8090169944,0.1175570505,0,0.1175570505,0,0,0,-3.349175242e-06,1.207693177e-06,3.560266508e-06,2.795511143,0,-3.162380945e-07,1.140324563e-07,3.361695011e-07,2.79551441,0
2.4e-05,0.001996052865,1369.989717,0.0001884666796,129.3578352,-0.8090169944,0.3090169944,0.9510565163,0.06180339887,0,0.06180339887,0,0,0,-3.287158898e-06,1.397408316e-06,3.571857168e-06,2.739627758,0,-3.1038253e-07,1.319452995e-07,3.372638092e-07,2.739632708,0
2.5e-05,0.003307286215,1247.752097,0.0003122767886,117.8162783,-1,1.194340119e-15,1,2.388680239e-16,0,2.388680239e-16,0,0,0,-3.286830183e-06,1.727997197e-06,3.713384839e-06,2.657570703,0,-3.103514917e-07,1.631597838e-07,3.506268151e-07,2.657576852,0
